,BT-549,CAL-148,CAL-51,HCC1937,Hs-578T,MDA-MB-231,MDA-MB-436,MDA-MB-468,CAL-120,CAL-85-1,DU-4475,HCC1143,HDQ-P1,MFM-223,BT-20,HCC-1187,HCC-1395,HCC-1806,HCC-38,HCC-70
Q14164,0.204,0.025,0.026,0.17,0.254,0.563,0.081,0.029,0.346,0.085,0.109,0.169,0.071,0.37,0.237,0.333,0.186,0.081,0.145,0.265
O96013,0.325,0.173,0.041,0.752,0.366,0.848,0.256,0.187,0.597,0.15,0.372,0.528,0.334,0.521,0.731,0.721,0.292,0.287,0.255,0.512
P10398,1.0,0.821,0.547,1.0,0.49,0.174,1.0,1.0,0.28,0.262,0.001,0.474,0.364,0.438,1.0,0.59,0.691,0.561,0.598,0.301
Q9UBE0,0.096,0.282,0.158,0.123,0.138,0.364,0.041,0.234,0.139,0.217,0.16,0.006,0.103,0.191,0.139,0.175,0.109,0.135,0.097,0.13
P19525,0.522,0.456,0.492,1.0,0.631,1.0,1.0,0.906,0.683,0.518,0.853,0.178,0.482,0.121,0.359,0.935,0.709,0.518,0.366,0.213
Q13043,0.242,0.059,0.01,0.194,0.154,0.363,0.145,0.031,0.277,0.369,0.069,0.009,0.036,0.416,0.238,0.19,0.429,0.199,0.093,0.315
Q8NI60,0.383,0.591,0.387,0.511,0.386,0.554,1.0,0.631,1.0,0.189,0.851,0.396,0.219,1.0,0.582,0.887,0.569,0.709,0.705,1.0
Q16620,0.955,0.899,0.565,0.868,0.698,0.83,0.744,0.707,0.928,0.997,0.809,0.876,0.923,0.942,0.771,0.861,0.927,0.918,0.905,0.848
P41595,0.312,0.8,0.955,0.19,0.448,0.507,0.534,0.474,0.237,0.788,0.748,0.55,0.755,0.697,0.514,0.537,0.704,0.399,0.69,0.611
P80192,0.435,0.018,0.001,0.299,0.231,0.422,0.229,0.087,0.512,0.255,0.224,0.206,0.049,0.069,0.141,0.07,0.61,0.394,0.007,0.537
Q96DB2,0.675,0.015,0.037,0.032,0.031,0.002,0.135,0.016,0.0,0.001,0.0,0.013,0.012,0.001,0.0,0.0,0.0,0.004,0.032,0.034
Q16513,0.631,0.027,0.045,0.45,0.236,0.499,0.115,0.3,0.575,0.641,0.449,0.228,0.403,0.117,0.162,0.561,0.57,0.341,0.313,0.064
Q9UQL6,0.547,0.01,0.015,0.043,0.021,0.001,0.108,0.01,0.0,0.0,0.0,0.004,0.005,0.001,0.0,0.001,0.0,0.001,0.031,0.025
Q9Y2H9,0.397,0.373,0.333,0.159,0.413,0.444,0.225,0.31,0.35,0.439,0.319,0.178,0.105,0.591,0.171,0.4,0.353,0.216,0.295,0.353
Q00537,0.136,0.443,0.106,0.703,0.02,0.592,0.554,0.043,0.4,0.016,0.03,0.268,0.155,0.02,0.09,0.119,0.0,0.127,0.015,0.005
Q15139,0.44,0.219,0.276,0.713,0.361,0.592,0.653,0.153,0.62,0.062,0.113,0.2,0.175,0.063,0.269,0.559,0.25,0.208,0.198,0.062
P52333,0.479,0.423,0.139,0.658,0.542,0.846,0.473,0.118,0.588,0.559,0.732,0.729,0.426,0.831,0.755,0.812,0.825,0.613,0.588,0.702
Q9UQB9,0.503,0.01,0.011,0.732,0.551,0.741,0.449,0.074,0.477,0.556,0.111,0.786,0.322,0.606,0.486,0.397,0.588,0.773,0.489,0.716
Q6XUX3,0.343,0.618,0.408,0.224,0.307,0.477,0.164,0.491,0.31,0.31,0.445,0.273,0.164,0.475,0.269,0.53,0.404,0.403,0.442,0.336
P49674,0.356,0.706,0.723,0.387,0.279,0.84,0.528,0.201,0.552,0.044,0.658,0.367,0.213,0.197,0.317,0.365,0.07,0.43,0.333,0.17
Q7RTN6,1.0,1.0,0.538,1.0,1.0,0.227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P35372,1.0,1.0,1.0,1.0,1.0,0.353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.301,0.489,0.32,1.0,1.0
P08631,0.528,0.256,0.029,0.666,0.559,0.784,0.442,0.124,0.391,0.284,0.543,0.492,0.119,0.744,0.604,0.814,0.802,0.547,0.353,0.803
P62158,1.0,1.0,0.724,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q13547,0.329,0.002,0.012,0.043,0.016,0.0,0.227,0.003,0.0,0.0,0.0,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.018,0.014
Q15746,0.219,0.64,0.222,0.236,0.159,0.601,0.551,0.556,0.159,0.234,0.531,0.1,0.106,0.101,0.381,0.711,0.46,0.213,0.275,0.116
Q6PHR2,0.194,0.162,0.035,0.38,0.144,0.673,0.186,0.079,0.27,0.157,0.127,0.336,0.163,0.384,0.469,0.442,0.278,0.209,0.218,0.373
Q9NYL2,0.799,1.0,0.85,0.886,0.853,0.656,0.984,0.987,0.533,0.89,0.083,0.928,0.876,0.945,0.999,0.97,0.64,0.932,0.982,0.839
O15357,0.364,0.143,0.049,0.774,0.365,0.662,0.452,0.195,0.497,0.344,0.437,0.195,0.132,0.303,0.443,0.459,0.687,0.766,0.251,0.558
P49336,0.357,0.637,0.294,0.732,0.154,0.764,0.553,0.099,0.733,0.125,0.43,0.515,0.495,0.121,0.121,0.165,0.023,0.374,0.138,0.025
P08235,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.588,1.0,1.0,1.0,1.0
P53355,0.206,0.221,0.224,0.385,0.305,1.0,0.681,0.659,0.259,0.209,0.548,0.087,0.192,0.029,0.269,0.617,0.395,0.226,0.174,0.076
P33981,0.609,0.437,0.428,0.412,0.66,0.527,0.579,0.547,0.482,0.182,0.129,0.539,0.32,0.665,0.546,0.449,0.561,0.385,0.472,0.593
P53350,0.013,0.01,0.005,0.455,0.009,0.288,0.036,0.373,0.249,0.067,0.515,0.031,0.108,0.0,0.0,0.244,0.597,0.046,0.02,0.001
P54760,0.475,0.683,0.229,0.767,0.667,0.765,0.54,0.452,0.489,0.284,0.56,0.795,0.432,0.658,0.786,0.767,0.887,0.917,0.73,0.764
O96017,0.459,0.226,0.108,0.35,0.455,0.883,0.232,0.353,0.643,0.094,0.676,0.355,0.069,0.157,0.31,0.205,0.408,0.541,0.059,0.588
P24864,0.269,0.198,0.191,0.587,0.014,0.35,1.0,0.017,0.765,0.004,0.277,0.206,0.231,0.022,0.015,0.007,0.0,0.16,0.018,0.001
Q00534,0.524,0.415,0.244,1.0,0.211,0.561,0.614,0.041,0.67,0.132,0.193,0.489,0.445,0.182,0.204,0.1,0.012,0.275,0.104,0.031
P54762,0.47,0.813,0.451,0.5,0.501,0.85,0.47,0.453,0.584,0.543,0.834,0.552,0.352,0.628,0.695,0.86,0.719,0.741,0.566,0.676
Q9UEE5,0.682,0.327,0.253,0.577,0.543,0.883,0.55,0.235,0.546,0.038,0.259,0.461,0.12,0.191,0.435,0.079,0.161,0.367,0.048,0.397
Q9UQ88,0.234,0.197,0.049,1.0,0.022,0.307,0.284,0.051,0.587,0.116,0.135,0.468,0.378,0.067,0.055,0.074,0.011,0.371,0.091,0.025
P42336,0.429,0.282,0.321,0.598,0.635,0.923,0.976,0.942,1.0,0.987,0.839,0.893,0.435,0.616,0.589,0.987,0.646,0.979,0.993,0.975
Q96D53,0.152,0.485,0.317,0.209,0.285,1.0,0.418,0.413,0.123,0.17,0.393,0.226,0.14,0.251,0.477,0.398,0.315,0.251,0.168,0.241
Q6P3R8,0.141,0.494,0.324,0.191,0.269,1.0,0.406,0.424,0.126,0.177,0.377,0.208,0.142,0.237,0.481,0.39,0.314,0.263,0.159,0.229
Q13470,0.444,0.196,0.012,0.567,0.396,0.739,0.534,0.095,0.362,0.603,0.261,0.629,0.214,0.617,0.733,0.652,0.852,0.783,0.597,0.714
Q07912,0.269,0.058,0.004,0.62,0.45,0.769,0.258,0.084,0.531,0.312,0.254,0.139,0.076,0.217,0.208,0.299,0.682,0.665,0.161,0.33
Q5S007,0.174,0.064,0.018,0.313,0.139,0.64,0.229,0.038,0.417,0.314,0.136,0.07,0.053,0.27,0.122,0.369,0.489,0.411,0.115,0.066
P12931,0.568,0.419,0.023,0.777,0.35,0.675,0.533,0.135,0.404,0.413,0.289,0.735,0.245,0.738,0.806,0.903,0.84,0.751,0.566,0.518
P35218,1.0,0.527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.413,1.0,1.0,1.0,1.0,1.0
O00141,1.0,0.379,0.448,0.586,1.0,0.733,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.835,1.0,0.479,1.0,0.734,1.0,1.0
P35590,0.766,0.395,0.223,0.862,0.75,0.899,0.594,0.674,0.758,0.782,0.879,0.912,0.826,0.859,0.741,0.795,0.835,0.976,0.867,0.841
Q9Y6Q9,1.0,0.008,0.095,1.0,1.0,0.376,0.302,0.433,0.391,0.665,0.175,1.0,0.58,0.507,0.409,0.539,1.0,0.432,0.152,0.436
Q9UBE8,0.692,0.837,0.705,1.0,0.71,0.691,0.569,0.919,1.0,0.728,0.325,0.794,0.91,0.773,0.781,0.934,0.979,1.0,0.936,0.877
Q9UK32,0.147,0.092,0.02,0.387,0.192,0.664,0.081,0.035,0.289,0.309,0.263,0.192,0.135,0.075,0.246,0.532,0.37,0.104,0.155,0.084
Q9BX84,1.0,0.607,0.547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P27037,0.172,1.0,0.223,1.0,0.204,0.289,1.0,0.312,1.0,0.243,1.0,1.0,0.341,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q9UPE1,0.404,0.269,0.136,0.292,0.244,0.402,0.466,0.176,0.331,0.616,0.261,0.304,0.192,0.503,0.374,0.371,0.574,0.312,0.236,0.392
P06493,0.247,0.399,0.185,0.37,0.259,0.22,0.581,0.291,0.352,0.315,0.077,0.274,0.338,0.275,0.516,0.429,0.198,0.346,0.139,0.52
Q96RR4,0.181,0.037,0.014,0.303,0.082,0.646,0.19,0.153,0.214,0.209,0.159,0.001,0.037,0.001,0.106,0.469,0.253,0.074,0.044,0.017
Q9NQU5,0.197,0.056,0.107,0.578,0.465,1.0,0.118,0.103,0.361,0.207,0.246,0.434,0.305,0.348,0.612,0.541,0.215,0.173,0.247,0.417
O43318,0.786,0.358,0.269,0.453,0.71,0.81,0.375,0.404,0.711,0.732,0.633,0.408,0.388,0.808,0.402,0.589,0.61,0.607,0.517,0.696
Q9BVS4,0.653,0.143,0.087,0.461,0.401,0.415,0.419,0.321,0.688,0.879,0.374,0.599,0.407,0.695,0.234,0.622,0.736,0.65,0.638,0.559
P27448,0.106,0.088,0.14,0.351,0.191,0.858,0.176,0.08,0.234,0.245,0.101,0.046,0.157,0.27,0.66,0.251,0.111,0.152,0.097,0.302
P42338,0.592,0.183,0.243,0.35,0.368,0.574,0.955,0.554,0.195,0.564,0.508,0.604,0.166,0.302,0.208,0.551,0.14,0.542,0.837,0.59
O60674,0.391,0.232,0.044,0.51,0.232,0.804,0.329,0.052,0.386,0.861,0.436,0.657,0.332,0.481,0.72,0.658,0.647,0.554,0.324,0.568
O94956,1.0,0.324,0.362,1.0,1.0,1.0,1.0,1.0,1.0,0.144,0.524,1.0,0.248,0.382,0.286,0.336,0.198,1.0,1.0,1.0
O14920,0.193,0.676,0.409,0.112,0.332,0.495,0.378,0.388,0.157,0.188,0.538,0.214,0.148,0.376,0.494,0.389,0.276,0.19,0.177,0.241
Q2M2I8,0.544,0.304,0.178,0.294,0.271,0.619,0.296,0.116,0.505,0.426,0.189,0.342,0.265,0.601,0.462,0.089,0.423,0.318,0.22,0.356
Q8TDC3,1.0,0.804,0.795,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P23975,0.14,0.517,0.843,0.105,0.237,0.255,0.258,0.205,0.095,0.483,0.459,0.293,0.471,0.398,0.266,0.218,0.404,0.153,0.42,0.363
Q8TD19,0.663,0.528,0.401,1.0,0.772,0.883,0.363,0.398,0.568,0.666,0.189,0.778,0.705,0.642,0.759,0.875,0.871,1.0,0.634,0.833
Q14289,0.333,0.155,0.007,0.513,0.328,0.743,0.549,0.127,0.273,0.471,0.284,0.182,0.058,0.187,0.444,0.628,0.669,0.405,0.162,0.317
P54619,0.08,0.021,0.003,0.772,0.356,0.862,0.153,0.002,0.193,0.374,0.076,0.616,0.138,0.264,0.664,0.307,0.253,0.214,0.131,0.561
Q969S8,0.674,0.015,0.032,0.046,0.029,0.001,0.166,0.026,0.0,0.001,0.0,0.007,0.01,0.003,0.0,0.001,0.0,0.004,0.032,0.049
P68400,0.42,0.286,0.099,0.38,0.283,0.501,0.468,0.191,0.384,0.629,0.343,0.423,0.276,0.492,0.289,0.151,0.526,0.406,0.274,0.39
P54646,0.667,0.263,0.148,0.454,0.341,0.344,0.427,0.193,0.586,0.737,0.282,0.365,0.312,0.567,0.322,0.487,0.684,0.468,0.333,0.5
P26927,0.128,0.448,0.341,0.074,0.133,0.212,0.108,0.218,0.119,0.164,0.3,0.119,0.046,0.27,0.148,0.327,0.16,0.167,0.214,0.151
Q9Y572,0.949,0.998,0.985,0.951,0.94,0.875,0.867,0.999,0.729,0.682,0.337,0.967,0.977,0.966,0.961,0.99,1.0,1.0,0.987,0.965
P29323,0.274,0.493,0.066,0.675,0.484,0.888,0.523,0.212,0.435,0.51,0.746,0.638,0.295,0.328,0.698,0.673,0.587,0.796,0.457,0.708
O14757,0.119,0.054,0.062,0.277,0.296,0.251,0.203,0.057,0.353,0.257,0.072,0.146,0.166,0.494,0.397,0.227,0.191,0.057,0.036,0.533
P45983,1.0,0.773,0.594,0.726,0.802,0.847,0.449,0.272,0.583,0.704,0.682,0.668,0.637,0.722,0.956,0.877,0.836,0.576,0.551,0.83
Q9BYT3,0.258,0.265,0.182,0.259,0.422,0.832,0.295,0.272,0.326,0.298,0.537,0.346,0.092,0.459,0.311,0.6,0.529,0.398,0.272,0.447
Q7KZI7,0.19,0.021,0.034,0.484,0.382,0.858,0.161,0.099,0.444,0.248,0.081,0.048,0.143,0.362,0.408,0.319,0.172,0.204,0.098,0.429
Q56UN5,0.634,0.585,0.486,0.606,0.642,0.948,0.71,0.731,0.781,0.533,0.911,0.484,0.441,0.613,0.577,0.93,0.909,0.76,0.767,0.521
P48426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P33527,1.0,0.043,0.066,1.0,1.0,0.434,1.0,1.0,1.0,0.778,0.209,1.0,1.0,0.326,1.0,1.0,0.496,1.0,0.359,1.0
Q9HC98,0.118,0.461,0.299,0.175,0.255,1.0,0.394,0.372,0.105,0.166,0.396,0.2,0.132,0.217,0.455,0.365,0.28,0.232,0.13,0.208
P36507,1.0,0.944,0.973,0.673,0.816,0.172,1.0,0.791,0.715,0.158,0.0,0.628,0.575,0.779,0.884,0.944,0.729,0.811,0.729,0.805
P57059,0.457,0.065,0.021,0.179,0.42,0.755,0.266,0.233,0.37,0.047,0.31,0.146,0.021,0.185,0.128,0.093,0.518,0.222,0.017,0.513
Q9NYY3,0.18,0.089,0.031,0.213,0.071,0.289,0.067,0.276,0.28,0.088,0.538,0.009,0.057,0.0,0.033,0.796,0.349,0.111,0.065,0.001
P25100,1.0,1.0,1.0,1.0,1.0,0.346,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.332,0.454,0.327,1.0,1.0
Q15418,0.173,0.06,0.031,0.388,0.44,0.881,0.172,0.11,0.281,0.3,0.141,0.399,0.199,0.465,0.39,0.266,0.256,0.098,0.257,0.418
Q12851,0.287,0.639,0.359,0.451,0.303,0.731,0.563,0.149,0.316,0.308,0.382,0.34,0.109,0.407,0.614,0.57,0.341,0.457,0.223,0.216
Q08881,0.403,0.482,0.174,0.634,0.248,0.728,0.505,0.261,0.469,0.592,0.584,0.704,0.484,0.523,0.7,0.764,0.616,0.711,0.455,0.492
Q13451,1.0,0.77,0.87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.268,1.0,1.0,1.0,0.766,1.0,1.0,1.0,1.0
O75116,0.828,0.514,0.867,0.685,0.88,0.935,0.667,0.895,0.784,0.854,0.941,0.762,0.76,0.813,0.912,0.756,0.776,0.924,0.874,0.85
P80370,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.516,1.0,1.0,1.0,1.0,0.416,0.277,1.0,1.0,1.0
Q9UGN5,1.0,0.139,0.034,1.0,1.0,1.0,1.0,0.357,1.0,1.0,0.657,1.0,1.0,0.795,1.0,0.812,1.0,0.605,0.484,0.583
Q59H18,0.47,0.843,0.483,0.595,0.44,0.851,0.537,0.56,0.736,0.209,0.753,0.55,0.34,0.557,0.478,0.652,0.408,0.684,0.5,0.31
Q13535,1.0,0.444,0.618,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28,1.0,0.345,0.103,1.0
P06756,1.0,1.0,0.261,1.0,0.266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.172,1.0,1.0,0.439,1.0
Q9NY57,1.0,0.599,0.579,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.425,1.0,1.0,1.0,1.0
P53779,0.749,0.843,0.398,0.57,0.651,0.847,0.819,0.558,0.566,0.366,0.31,0.717,0.464,0.774,0.886,0.596,0.611,0.659,0.742,0.76
P0C264,0.393,0.272,0.09,1.0,0.236,0.26,0.325,0.287,0.472,0.619,0.357,0.544,0.514,0.481,0.449,0.589,0.766,1.0,0.442,0.381
P10721,0.675,0.817,0.268,0.844,0.634,0.957,0.86,0.506,0.597,0.943,0.842,0.796,0.524,0.83,0.906,0.957,0.939,0.927,0.805,0.909
P14780,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.463,0.528,1.0,1.0,1.0,1.0,0.055,1.0,1.0,1.0,1.0
P24557,0.356,0.611,0.88,0.14,1.0,1.0,0.459,0.446,1.0,0.644,0.725,0.378,0.616,0.442,1.0,0.525,0.649,0.295,1.0,1.0
P78362,0.354,0.236,0.151,0.262,0.229,0.366,0.432,0.159,0.288,0.697,0.221,0.36,0.232,0.481,0.317,0.316,0.47,0.267,0.309,0.342
P30530,0.812,0.445,0.253,0.669,0.635,0.848,0.514,0.482,0.777,0.868,0.729,0.743,0.607,0.864,0.6,0.787,0.762,0.808,0.649,0.699
Q00536,0.465,0.222,0.058,0.915,0.049,0.455,0.503,0.026,0.772,0.177,0.15,0.577,0.454,0.061,0.126,0.03,0.011,0.352,0.075,0.045
P10276,1.0,0.623,0.801,0.319,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q05655,0.391,0.056,0.248,0.582,0.701,0.644,0.333,0.379,0.758,0.498,0.335,0.419,0.344,0.619,0.442,0.244,0.38,0.303,0.333,0.603
Q13315,0.381,0.41,0.513,0.057,1.0,1.0,0.422,1.0,1.0,0.66,0.485,0.519,0.588,0.475,1.0,0.546,0.607,1.0,0.589,1.0
P11802,0.48,0.909,0.904,0.589,0.15,0.696,0.892,0.243,0.836,0.446,0.076,0.533,0.549,0.256,0.318,0.373,0.09,0.436,0.249,0.102
Q16790,1.0,0.729,0.935,1.0,1.0,1.0,0.592,1.0,1.0,1.0,0.818,1.0,1.0,1.0,0.778,0.82,0.832,0.706,1.0,1.0
O15197,0.336,0.182,0.052,0.821,0.481,0.959,0.379,0.077,0.545,0.78,0.461,0.484,0.439,0.615,0.687,0.637,0.857,0.823,0.445,0.583
P20309,0.013,0.281,0.514,0.007,0.073,0.086,0.064,0.024,0.038,0.078,0.167,0.05,0.049,0.082,0.205,0.07,0.072,0.004,0.158,0.046
Q9Y463,0.213,0.209,0.176,0.365,0.045,0.552,0.594,0.019,0.772,0.098,0.116,0.171,0.148,0.065,0.033,0.045,0.007,0.123,0.032,0.014
P42345,0.568,0.059,0.341,0.145,0.756,0.884,1.0,0.937,1.0,0.932,0.465,0.692,0.525,0.525,0.603,0.961,0.646,0.956,0.994,1.0
P14616,0.561,0.48,0.266,0.554,0.262,0.367,0.319,0.29,0.556,0.838,0.398,0.636,0.652,0.499,0.477,0.539,0.668,0.686,0.609,0.447
O94921,0.193,0.471,0.333,0.57,0.021,0.573,0.543,0.022,0.653,0.037,0.168,0.289,0.201,0.018,0.033,0.064,0.001,0.166,0.029,0.001
P04792,1.0,1.0,0.223,1.0,1.0,0.3,1.0,1.0,1.0,0.468,1.0,0.248,1.0,1.0,1.0,0.513,0.397,1.0,1.0,1.0
Q15465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.415,1.0,1.0,1.0,1.0
P28223,0.037,0.331,0.689,0.043,0.13,0.159,0.104,0.084,0.074,0.187,0.283,0.121,0.103,0.203,0.3,0.126,0.122,0.04,0.265,0.097
Q8IU85,0.222,0.343,0.219,0.12,0.336,0.576,0.311,0.305,0.19,0.238,0.299,0.127,0.059,0.467,0.24,0.297,0.305,0.186,0.153,0.28
Q9P289,0.088,0.261,0.117,0.312,0.082,0.414,0.112,0.109,0.412,0.032,0.123,0.011,0.066,0.141,0.166,0.183,0.007,0.092,0.057,0.038
Q13873,0.328,0.44,0.199,0.136,0.201,0.34,0.149,0.047,0.173,0.243,0.271,0.146,0.082,0.349,0.347,0.359,0.308,0.112,0.181,0.266
Q9NRH2,0.139,0.598,0.562,0.175,0.269,1.0,0.425,0.433,0.134,0.348,0.48,0.323,0.242,0.292,0.504,0.312,0.213,0.229,0.334,0.243
O94768,0.284,0.801,0.643,0.242,0.346,0.697,0.637,0.436,0.186,0.401,0.503,0.263,0.235,0.351,0.712,0.466,0.375,0.296,0.251,0.347
P56524,0.113,0.001,0.004,0.016,0.002,0.0,0.133,0.002,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.006,0.003
Q15759,0.875,0.998,0.731,0.95,0.905,0.681,0.797,0.983,1.0,0.926,0.996,0.895,0.992,0.993,0.949,0.978,0.993,1.0,0.988,0.966
P50750,0.219,0.225,0.09,0.534,0.011,0.534,0.453,0.014,0.795,0.017,0.143,0.033,0.178,0.016,0.025,0.023,0.0,0.131,0.008,0.001
Q9H2G2,0.628,0.59,0.048,0.711,0.485,0.915,0.53,0.224,0.548,0.562,0.752,0.78,0.436,0.803,0.695,0.707,0.768,0.673,0.638,0.751
Q96SB4,0.432,0.273,0.132,0.303,0.28,0.416,0.498,0.195,0.313,0.583,0.246,0.308,0.213,0.51,0.372,0.387,0.553,0.345,0.27,0.372
P11511,0.592,0.692,0.608,1.0,0.41,0.452,0.514,0.484,0.669,0.981,0.742,1.0,0.849,0.834,0.523,0.808,0.916,0.889,0.871,0.611
P18405,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P09769,0.63,0.609,0.141,0.5,0.397,0.643,0.589,0.546,0.444,0.409,0.524,0.465,0.224,0.804,0.539,0.828,0.815,0.64,0.592,0.645
O14578,0.421,0.368,0.725,0.58,0.54,0.921,0.755,0.457,0.544,0.272,0.745,0.63,0.428,0.441,0.662,0.384,0.293,0.602,0.389,0.25
P07451,1.0,0.615,0.828,1.0,1.0,1.0,0.456,1.0,1.0,1.0,0.658,1.0,1.0,1.0,1.0,0.678,0.693,0.538,1.0,1.0
P41440,1.0,0.024,0.257,1.0,1.0,1.0,1.0,1.0,1.0,0.713,1.0,1.0,1.0,1.0,1.0,0.576,1.0,1.0,0.462,1.0
O15530,1.0,0.062,0.033,0.438,0.475,0.564,0.306,0.21,0.645,0.56,0.15,0.423,0.385,0.497,0.148,0.324,0.717,0.596,0.274,0.281
Q02763,0.883,0.488,0.143,1.0,0.73,0.732,0.597,0.592,0.894,0.976,0.779,0.9,0.956,0.891,0.678,0.941,0.985,1.0,0.893,0.839
Q9Y478,0.069,0.02,0.001,0.61,0.272,0.895,0.098,0.006,0.18,0.323,0.054,0.054,0.087,0.251,0.583,0.217,0.164,0.153,0.088,0.431
Q15059,1.0,0.128,0.566,0.577,1.0,1.0,1.0,1.0,1.0,0.378,0.058,1.0,1.0,1.0,0.817,0.552,0.545,1.0,0.271,1.0
Q16584,0.819,0.136,0.014,0.572,0.317,0.35,0.324,0.103,0.644,0.553,0.043,0.429,0.341,0.652,0.375,0.507,0.751,0.389,0.2,0.525
Q00526,0.121,0.14,0.079,0.509,0.026,0.488,0.618,0.005,0.312,0.035,0.042,0.241,0.098,0.017,0.065,0.019,0.004,0.105,0.003,0.006
P51813,0.392,0.799,0.428,0.351,0.388,0.616,0.279,0.65,0.468,0.147,0.723,0.379,0.269,0.613,0.437,0.819,0.63,0.64,0.492,0.52
Q12931,1.0,0.03,0.096,0.003,1.0,0.036,1.0,0.073,0.518,0.007,0.0,1.0,0.01,0.451,1.0,0.628,0.203,0.232,0.206,0.331
Q86YV6,0.512,0.504,0.412,0.298,0.565,0.835,0.733,0.539,0.429,0.623,0.516,0.393,0.218,0.627,0.424,0.634,0.636,0.411,0.406,0.6
Q04759,0.102,0.071,0.101,0.261,0.146,0.703,0.197,0.083,0.627,0.083,0.156,0.022,0.067,0.186,0.107,0.205,0.101,0.118,0.067,0.07
P24723,0.42,0.079,0.402,0.41,0.409,0.666,0.538,0.182,0.644,0.415,0.346,0.412,0.262,0.316,0.151,0.266,0.275,0.273,0.21,0.141
Q02156,0.513,0.179,0.441,0.466,0.511,0.56,0.641,0.226,0.759,0.562,0.449,0.531,0.287,0.428,0.247,0.422,0.322,0.401,0.308,0.215
O94806,0.27,0.101,0.21,0.801,0.411,0.938,0.396,0.146,0.745,0.338,0.142,0.314,0.43,0.049,0.402,0.696,0.199,0.231,0.206,0.111
Q8TDU6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.402,1.0,1.0,1.0,1.0
P23443,0.435,0.725,0.488,0.614,0.647,0.917,0.341,0.36,0.565,0.62,0.608,0.57,0.447,0.749,0.833,0.675,0.494,0.39,0.597,0.673
Q9H2X6,0.916,0.496,0.648,0.743,0.708,0.967,0.809,0.91,0.891,0.881,0.865,0.847,0.82,0.785,0.795,0.943,0.795,0.937,0.827,0.839
O00329,0.694,0.289,0.345,0.727,0.757,0.939,1.0,0.931,1.0,0.959,0.859,0.955,0.509,0.695,0.606,0.97,0.691,0.963,0.997,0.96
Q8WU08,1.0,0.614,0.566,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.459,1.0,1.0,1.0,1.0
P53671,0.574,0.73,0.67,1.0,0.627,0.498,1.0,0.793,1.0,0.753,0.022,1.0,0.841,0.501,0.837,0.831,0.736,1.0,0.882,1.0
Q9BXA7,1.0,0.141,0.126,0.458,1.0,0.866,0.339,0.702,0.64,0.159,0.671,0.276,0.106,0.175,0.317,0.044,0.625,0.589,0.027,0.79
Q96S53,1.0,0.246,0.388,1.0,1.0,0.346,1.0,1.0,1.0,0.493,0.328,1.0,1.0,0.237,1.0,1.0,1.0,1.0,0.405,1.0
Q9H093,0.202,0.023,0.013,0.267,0.106,0.45,0.123,0.035,0.256,0.446,0.276,0.188,0.066,0.075,0.23,0.513,0.568,0.299,0.161,0.086
