,BT-549,CAL-148,CAL-51,HCC1937,Hs-578T,MDA-MB-231,MDA-MB-436,MDA-MB-468,CAL-120,CAL-85-1,DU-4475,HCC1143,HDQ-P1,MFM-223,BT-20,HCC-1187,HCC-1395,HCC-1806,HCC-38,HCC-70
P09038,1.0,0.407,0.34,1.0,1.0,0.319,1.0,1.0,1.0,0.289,0.49,1.0,1.0,0.264,0.152,0.206,1.0,1.0,0.384,1.0
P43490,1.0,0.133,0.151,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.033,1.0,1.0,0.035,0.235,0.15,0.471,1.0,0.422,1.0
P28702,1.0,0.473,0.688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q9NZ45,1.0,0.484,0.481,1.0,1.0,1.0,1.0,0.381,1.0,0.547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.315,0.221,1.0
P16152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.304,1.0,1.0,1.0,1.0,1.0
P27986,0.261,0.418,0.254,0.225,0.23,0.568,1.0,0.375,1.0,0.544,0.488,1.0,0.292,0.393,0.255,0.563,0.21,0.434,0.561,1.0
Q9BY08,0.187,1.0,0.634,0.062,1.0,1.0,0.256,0.212,1.0,0.437,0.477,0.211,0.369,0.236,1.0,0.326,0.402,0.159,1.0,1.0
P42330,0.049,0.044,0.079,0.178,0.13,0.216,0.053,0.132,0.146,0.057,0.169,0.01,0.036,0.06,0.044,0.042,0.173,0.181,0.027,0.052
Q9UIF9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.57,1.0,1.0,1.0,1.0
Q9NWT8,0.156,0.073,0.03,1.0,0.072,0.077,0.127,0.067,0.18,1.0,0.143,1.0,0.266,0.27,0.164,0.244,0.398,1.0,0.318,0.151
P56704,1.0,1.0,0.622,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q13418,1.0,0.844,0.827,1.0,1.0,1.0,0.431,1.0,1.0,1.0,0.661,1.0,1.0,1.0,1.0,0.746,0.057,1.0,1.0,1.0
Q9Y4C1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P05093,1.0,1.0,0.913,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P14625,1.0,0.049,0.128,0.295,1.0,0.053,1.0,0.049,1.0,0.021,0.002,1.0,0.011,0.432,1.0,1.0,0.194,0.286,0.242,0.309
Q07817,1.0,0.548,0.74,0.384,0.525,0.163,1.0,0.595,0.176,0.746,0.542,0.284,0.266,0.735,0.745,1.0,0.743,0.639,0.416,1.0
Q92630,1.0,0.717,0.591,1.0,1.0,1.0,1.0,0.637,0.394,0.464,0.723,0.42,0.471,0.556,0.626,0.688,0.476,1.0,0.45,0.506
P31689,1.0,0.069,0.032,1.0,0.23,0.313,0.102,0.079,1.0,1.0,0.062,1.0,1.0,0.186,0.105,0.388,1.0,1.0,0.348,0.08
Q9Y5S2,1.0,0.767,0.446,1.0,0.602,0.644,0.341,0.762,1.0,0.71,0.687,0.606,0.758,0.695,0.526,0.724,0.757,1.0,0.707,0.638
Q6DT37,1.0,0.345,0.286,1.0,0.257,1.0,0.111,0.397,1.0,0.338,0.383,1.0,0.353,0.296,0.185,0.374,1.0,1.0,0.335,0.268
P55263,0.059,0.05,0.086,0.174,0.128,0.219,0.071,0.12,0.157,0.047,0.16,0.008,0.031,0.062,0.049,0.043,0.157,0.177,0.019,0.048
P23284,0.095,0.295,0.169,0.128,0.141,0.352,0.047,0.214,0.137,0.245,0.168,0.006,0.108,0.188,0.131,0.155,0.091,0.162,0.1,0.121
Q04760,0.039,0.166,0.182,0.069,0.094,1.0,1.0,0.225,1.0,1.0,0.164,0.093,0.091,0.104,0.138,0.347,0.126,0.336,0.154,0.222
Q96JM7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q8IW41,1.0,0.179,0.079,1.0,0.245,1.0,0.086,0.05,0.139,0.335,0.3,1.0,0.229,1.0,1.0,0.36,1.0,0.14,0.239,1.0
P10826,1.0,0.61,0.783,0.338,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P30281,1.0,0.31,0.238,0.114,0.098,1.0,1.0,0.143,1.0,0.155,0.317,0.12,0.307,0.144,0.104,0.137,0.056,0.167,0.141,0.089
Q8TF76,0.11,0.43,0.365,0.08,0.094,1.0,0.094,0.138,0.1,0.222,0.313,0.08,0.105,0.153,0.174,0.256,0.125,0.173,0.195,0.146
P00374,1.0,0.035,0.329,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.345,1.0
P00813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.589,1.0,1.0,1.0,1.0
Q6P5Z2,1.0,0.257,0.401,1.0,1.0,0.323,1.0,1.0,1.0,0.511,0.331,1.0,1.0,0.245,1.0,1.0,1.0,1.0,0.43,1.0
O95747,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.51,1.0,1.0,1.0,1.0,0.405,0.253,1.0,1.0,1.0
Q9Y2H1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.512,1.0,1.0,1.0,1.0,0.428,0.278,1.0,1.0,1.0
O14744,1.0,0.496,0.47,1.0,1.0,1.0,1.0,1.0,1.0,0.542,1.0,1.0,1.0,0.444,0.324,0.402,0.474,1.0,1.0,1.0
Q8WXR4,1.0,0.359,0.301,1.0,0.271,1.0,0.115,0.396,1.0,0.339,0.386,1.0,0.368,0.311,0.191,0.391,1.0,1.0,0.328,0.275
