,BT-549,CAL-148,CAL-51,HCC1937,Hs-578T,MDA-MB-231,MDA-MB-436,MDA-MB-468,CAL-120,CAL-85-1,DU-4475,HCC1143,HDQ-P1,MFM-223,BT-20,HCC-1187,HCC-1395,HCC-1806,HCC-38,HCC-70
CHEMBL3545154,0.0,8.7,1.1,0.6,0.0,0.0,0.2,0.0,0.0,14.0,0.0,0.0,0.1,0.3,0.0,3.1,0.0,0.0,0.6,0.0
CHEMBL428647,0.0,27.0,31.5,0.0,13.7,17.1,8.6,8.7,2.4,20.4,3.8,7.5,7.5,20.1,31.1,13.2,9.1,18.8,11.8,6.4
CHEMBL84,3.9,32.9,34.1,3.0,3.7,3.4,1.6,10.1,3.4,10.0,19.9,2.0,2.6,3.0,12.6,7.9,10.4,11.1,21.0,4.1
CHEMBL553,0.0,9.4,9.4,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.1,0.0,1.6,0.8,1.5,3.2,3.5,0.0,0.0,0.0
CHEMBL1879463,0.0,15.3,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,7.3,0.1,0.3,1.7,0.0,1.3,0.9,0.0,0.0,0.0
CHEMBL408513,0.0,16.5,19.2,1.8,4.1,12.9,7.8,5.1,7.1,9.5,17.3,5.4,2.9,11.3,17.9,13.7,12.0,6.8,6.9,3.9
CHEMBL1232461,0.0,8.2,4.7,0.7,0.0,0.0,0.0,0.0,0.0,2.1,8.1,0.0,0.0,0.0,0.0,5.6,0.0,0.0,3.5,0.0
CHEMBL3039525,0.3,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CHEMBL377300,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL217092,0.6,15.1,10.7,0.5,1.6,2.0,0.0,0.8,0.0,12.6,0.7,2.5,6.1,0.0,2.3,0.8,3.2,0.2,1.4,0.0
CHEMBL3544964,0.0,3.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.1,21.4,0.6,1.4,2.0,0.2,17.8,4.3,0.0,0.1,0.0
CHEMBL1236962,1.0,15.4,23.0,2.4,4.2,0.6,0.0,2.9,0.0,4.4,6.6,0.0,3.8,3.5,7.7,3.0,8.0,2.2,1.3,0.0
CHEMBL230011,0.0,0.6,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL328190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2,1.4,0.0,0.0,0.0
CHEMBL413,0.0,2.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IIRWNGPLJQXWFJ-KRWDZBQOSA-N,0.0,5.2,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,2.2,0.0,0.3,0.3,0.0,0.0,0.0
CHEMBL1852688,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL3301612,0.0,0.0,1.4,0.0,0.0,6.5,0.0,0.0,0.0,0.0,27.1,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0
CHEMBL184238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
CHEMBL1487,0.0,0.0,6.4,0.0,0.0,2.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.1,1.0,0.0,0.0,0.0
CHEMBL2347655,2.7,42.8,36.7,0.0,11.3,17.5,8.1,9.8,0.7,19.0,13.6,8.4,3.7,30.9,32.6,17.0,8.4,10.6,16.8,16.9
CHEMBL300138,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.2,0.0
CHEMBL3581647,0.0,17.7,9.4,0.0,0.0,0.0,0.0,0.0,0.0,4.4,13.6,0.0,0.0,0.0,0.0,0.2,3.5,0.0,4.9,0.0
CHEMBL3545307,0.0,2.9,4.6,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
